Timestamp,LogLevel,Message
"2024-10-30 02:08:38,048",INFO,"R- Disallowed paths for domain www.ntc.edu: /core/, /profiles/, /README.txt, /web.config, /admin/, /comment/reply/, /filter/tips, /node/add/, /search/, /user/register/, /user/password/, /user/login/, /user/logout/, /class-cart/, /index.php/admin/, /index.php/comment/reply/, /index.php/filter/tips, /index.php/node/add/, /index.php/search/, /index.php/user/password/, /index.php/user/register/, /index.php/user/login/, /index.php/user/logout/, /index.php/class-cart/"
"2024-10-30 02:08:38,144",INFO,Successfully fetched https://www.ntc.edu/
"2024-10-30 02:08:38,171",INFO,Word count completed for https://www.ntc.edu/
"2024-10-30 02:08:38,177",INFO,"Details for website https://www.wctc.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Waukesha', 'Institution': 'Waukesha County Technical College'}"
"2024-10-30 02:08:38,346",INFO,R- Successfully read robots.txt from https://www.wctc.edu/robots.txt
"2024-10-30 02:08:38,346",INFO,"R- Disallowed paths for domain www.wctc.edu: /Views/Display/Blocks, /*?*PrintPage=yes*"
"2024-10-30 02:08:38,629",INFO,Successfully fetched https://www.wctc.edu/
"2024-10-30 02:08:38,652",INFO,Word count completed for https://www.wctc.edu/
"2024-10-30 02:08:38,658",INFO,"Details for website https://www.gtc.edu/: {'Category': 'College', 'State': 'WI', 'City': 'Kenosha', 'Institution': 'Gateway Technical College'}"
"2024-10-30 02:08:38,899",INFO,R- Successfully read robots.txt from https://www.gtc.edu/robots.txt
"2024-10-30 02:08:38,899",INFO,"R- Disallowed paths for domain www.gtc.edu: /core/, /profiles/, /README.md, /composer/Metapackage/README.txt, /composer/Plugin/ProjectMessage/README.md, /composer/Plugin/Scaffold/README.md, /composer/Plugin/VendorHardening/README.txt, /composer/Template/README.txt, /modules/README.txt, /sites/README.txt, /themes/README.txt, /web.config, /admin/, /comment/reply/, /filter/tips, /node/add/, /search/, /user/register, /user/password, /user/login, /user/logout, /media/oembed, /*/media/oembed, /index.php/admin/, /index.php/comment/reply/, /index.php/filter/tips, /index.php/node/add/, /index.php/search/, /index.php/user/password, /index.php/user/register, /index.php/user/login, /index.php/user/logout, /index.php/media/oembed, /index.php/*/media/oembed, /sites/default/files/files/user*/, /sites/default/files/articles/, /intranet/, /landing/, /webform/adword-form/, /directory-entry/, /i-choose-gateway/feature/, /transfer-agreement-entry/, /happening/, /additional-information-collection/"
"2024-10-30 02:08:39,133",INFO,Successfully fetched https://www.gtc.edu/
"2024-10-30 02:08:39,149",INFO,Word count completed for https://www.gtc.edu/
